,Brewery,Style,Name,ReviewsNumber,OverallReview,Aroma,Appearance,Palate,Taste,BeerABV,PersonalRating,Comment,Favorite
45,Shipyard Brewing Co.,English India Pale Ale (ipa),Tremont Freedom Trail Ipa,1143399249.0,4.0,4.0,4.0,4.0,4.0,6.4,-1,Unfilled,0
46,Shipyard Brewing Co.,English Pale Ale,Tremont Ale,1168661375.0,3.5,4.0,3.5,3.0,3.0,4.8,-1,Unfilled,0
47,Melbourn Bros.,Fruit / Vegetable Beer,Melbourn Bros. Apricot,1129778476.0,4.0,4.0,4.0,4.0,4.0,3.4,-1,Unfilled,0
48,Redhook Ale Brewery,American Porter,Blackhook Porter,1046101348.0,3.5,4.0,4.0,4.0,3.5,5.23,-1,Unfilled,0
49,Redhook Ale Brewery,American Double / Imperial Stout,Redhook Double Black Stout (with Coffee),1230593872.0,4.0,3.5,4.0,4.0,3.5,7.0,-1,Unfilled,0
50,Melbourn Bros.,Fruit / Vegetable Beer,Melbourn Bros. Strawberry,1168045063.0,4.0,4.0,4.0,4.0,4.0,3.4,-1,Unfilled,0
51,Allagash Brewing Company,Quadrupel (quad),Allagash Grand Cru,1129694252.0,4.5,4.5,4.5,4.5,4.0,7.2,-1,Unfilled,0
52,Allagash Brewing Company,Witbier,Allagash White,1242786209.0,5.0,4.5,4.0,4.5,4.5,5.2,-1,Unfilled,0
53,Unfilled,American Adjunct Lager,Hard Hat American Beer,1020244856.0,3.5,3.5,3.5,4.0,3.5,3.8,-1,Unfilled,0
54,Anchor Brewing Company,American Porter,Anchor Porter,1162794629.0,4.0,4.0,4.0,4.0,4.0,5.6,-1,Unfilled,0
55,Anchor Brewing Company,Winter Warmer,Our Special Ale 1998 (anchor Christmas Ale),1134484393.0,4.0,3.0,4.0,3.0,3.5,-1.0,-1,Unfilled,0
56,Anchor Brewing Company,California Common / Steam Beer,Anchor Steam Beer,1279571643.0,3.5,3.0,3.5,3.0,3.5,4.9,-1,Unfilled,0
57,Anheuser-busch,American Adjunct Lager,Budweiser,1242438781.0,2.0,1.5,1.5,2.0,2.0,5.0,-1,Unfilled,0
58,Anheuser-busch,American Malt Liquor,King Cobra Premium Malt Liquor,1129135187.0,3.5,3.5,3.5,4.5,3.0,6.0,-1,Unfilled,0
59,Avery Brewing Company,Extra Special / Strong Bitter (esb),14'er Esb,1236641494.0,3.0,4.0,4.0,3.5,2.5,5.13,-1,Unfilled,0
60,Redhook Ale Brewery,Rye Beer,Redhook Rye,889315201.0,4.0,4.0,4.5,4.0,4.5,-1.0,-1,Unfilled,0
61,Redhook Ale Brewery,American Blonde Ale,Redhook Blonde,1158634118.0,4.0,2.5,3.0,3.5,3.5,5.77,-1,Unfilled,0
62,Redhook Ale Brewery,Hefeweizen,Redhook Hefe-weizen,1068645500.0,2.5,2.5,2.5,3.5,2.0,5.19,-1,Unfilled,0
63,Redhook Ale Brewery,English Brown Ale,Redhook Nut Brown Ale,1042572156.0,3.0,3.5,3.5,3.0,3.5,5.57,-1,Unfilled,0
64,Wells & Young's Ltd,Milk / Sweet Stout,Young's Double Chocolate Stout,1292889256.0,2.0,4.0,4.0,2.5,2.0,5.2,-1,Unfilled,0
65,Brooklyn Brewery,Pumpkin Ale,Post Road Pumpkin Ale,1234591324.0,3.5,3.0,3.5,3.0,3.5,5.0,-1,Unfilled,0
66,"Lion Brewery, Inc.",American Porter,Pocono Caramel Porter,1134884609.0,4.0,4.0,4.5,4.5,4.5,-1.0,-1,Unfilled,0
67,"Lion Brewery, Inc.",American Pale Lager,Brewery Hill Centennial Lager,997575046.0,4.0,5.0,3.0,4.0,5.0,-1.0,-1,Unfilled,0
68,Brasserie Lefèbvre Sa,Witbier,Blanche De Bruxelles / Manneken Pis Belgian White,1238351541.0,4.5,2.0,3.5,3.5,3.0,4.5,-1,Unfilled,0
69,Belhaven Brewery Company Ltd.,Scotch Ale / Wee Heavy,Wee Heavy,1191125234.0,4.0,3.0,3.5,3.0,3.0,6.5,-1,Unfilled,0
70,Brauerei Pinkus Mueller,Altbier,Organic Münster Alt,1145365395.0,3.0,3.0,2.5,2.5,2.5,5.1,-1,Unfilled,0
71,Brauerei Pinkus Mueller,German Pilsener,Organic Ur Pils,1211698754.0,4.0,3.0,3.0,4.0,2.5,5.2,-1,Unfilled,0
72,Brauerei Pinkus Mueller,Hefeweizen,Organic Hefe-weizen,1152413192.0,4.0,3.0,3.0,3.5,3.5,5.1,-1,Unfilled,0
73,Brauerei Beck & Co.,Märzen / Oktoberfest,Beck's Oktoberfest,1251254685.0,3.5,3.5,4.0,3.5,3.0,5.0,-1,Unfilled,0
74,Berkshire Brewing Company Inc.,American Pale Wheat Ale,Independence Wheat Ale,902188801.0,3.5,4.0,3.5,4.0,3.5,-1.0,-1,Unfilled,0
75,Berkshire Brewing Company Inc.,American Porter,Coffeehouse Porter,1173030806.0,4.0,4.5,3.5,4.0,4.0,6.2,-1,Unfilled,0
76,Berkshire Brewing Company Inc.,American Porter,Drayman's Porter,1131844082.0,4.0,4.0,4.0,4.0,4.0,6.2,-1,Unfilled,0
77,Stone Brewing Co.,American Pale Ale (apa),Stone Pale Ale,1300487389.0,4.0,4.0,4.5,3.5,4.5,5.4,-1,Unfilled,0
78,Stone Brewing Co.,American Ipa,Stone Ipa (india Pale Ale),1121815280.0,4.5,4.5,4.5,5.0,4.5,6.9,-1,Unfilled,0
79,Berkshire Brewing Company Inc.,English India Pale Ale (ipa),Lost Sailor India Pale Ale,1188190076.0,4.5,4.0,4.5,4.0,4.0,5.5,-1,Unfilled,0
80,Stone Brewing Co.,American Porter,Stone Smoked Porter,1204433960.0,2.5,3.5,4.5,3.0,2.0,5.9,-1,Unfilled,0
81,Stone Brewing Co.,American Strong Ale,Arrogant Bastard Ale,1231891383.0,3.5,4.0,4.5,3.5,4.0,7.2,-1,Unfilled,0
82,Berkshire Brewing Company Inc.,American Pale Ale (apa),Steel Rail Extra Pale Ale,1210801340.0,4.5,3.0,3.5,3.0,4.0,5.3,-1,Unfilled,0
83,St. Stan's Brewing Co.,American Amber / Red Ale,Red Sky Ale,1161979045.0,4.5,4.0,4.0,4.0,4.0,-1.0,-1,Unfilled,0
84,Spring Street Brewing Company,Witbier,Wit Original,900979201.0,2.5,3.5,2.0,3.0,2.5,-1.0,-1,Unfilled,0
85,Sprecher Brewing Company,Schwarzbier,Black Bavarian,1213249378.0,3.5,4.0,4.0,4.0,4.0,6.0,-1,Unfilled,0
86,Sprecher Brewing Company,Vienna Lager,Special Amber,1297892146.0,4.5,3.5,4.5,3.5,3.5,5.0,-1,Unfilled,0
87,Spaten-franziskaner-bräu,Doppelbock,Spaten Optimator,1228841956.0,4.0,3.5,4.0,4.0,4.5,7.6,-1,Unfilled,0
88,Coors Brewing Company,Pumpkin Ale,Blue Moon Harvest Moon Pumpkin Ale,1241393216.0,3.0,3.5,3.5,3.5,3.0,5.7,-1,Unfilled,0
89,Boston Beer Company (samuel Adams),Bock,Samuel Adams Winter Lager,1163085878.0,4.0,3.0,4.0,3.0,3.5,5.5,-1,Unfilled,0
90,Boston Beer Company (samuel Adams),Märzen / Oktoberfest,Samuel Adams Octoberfest,1191867427.0,4.0,3.0,3.5,3.0,3.5,5.3,-1,Unfilled,0
91,Boston Beer Company (samuel Adams),American Pale Wheat Ale,Samuel Adams Summer Ale,1217352171.0,4.0,3.5,3.5,3.5,3.5,5.3,-1,Unfilled,0
92,Boston Beer Company (samuel Adams),Vienna Lager,Samuel Adams Boston Lager,1181556267.0,3.5,4.0,3.5,4.0,4.0,4.9,-1,Unfilled,0
93,Boston Beer Company (samuel Adams),Kölsch,Samuel Adams Spring Ale,1043861143.0,3.5,3.5,3.5,4.0,4.0,5.2,-1,Unfilled,0
94,Boston Beer Company (samuel Adams),Fruit / Vegetable Beer,Samuel Adams Cherry Wheat,1297894809.0,3.5,4.0,4.0,3.0,2.0,5.3,-1,Unfilled,0
95,Boston Beer Company (samuel Adams),German Pilsener,Samuel Adams Golden Pilsner,1037441743.0,4.0,3.5,3.5,3.5,4.5,4.63,-1,Unfilled,0
96,Boston Beer Company (samuel Adams),Cream Ale,Samuel Adams Cream Ale,885945601.0,4.5,4.0,4.5,4.0,4.5,-1.0,-1,Unfilled,0
97,Boston Beer Company (samuel Adams),American Strong Ale,Samuel Adams Triple Bock,1190954496.0,2.0,5.0,4.0,4.5,4.5,17.5,-1,Unfilled,0
98,Brasserie Grain D' Orge (brasserie Jeanne D'arc Sa),Belgian Strong Pale Ale,Belzebuth,1282712011.0,4.0,3.0,4.0,4.0,4.0,13.0,-1,Unfilled,0
99,Tommyknocker Brewery,Doppelbock,Butthead Doppelbock,1119053198.0,3.5,2.5,3.5,3.0,3.5,8.2,-1,Unfilled,0
100,Tommyknocker Brewery,American Pale Wheat Ale,Jack Whacker Wheat Ale,1202831866.0,4.0,3.5,3.5,4.0,4.0,4.7,-1,Unfilled,0
101,Tommyknocker Brewery,American Brown Ale,Maple Nut Brown Ale,1132101001.0,2.5,3.0,3.0,3.0,2.5,4.5,-1,Unfilled,0
102,Tommyknocker Brewery,Märzen / Oktoberfest,Red Eye Märzen Stil Lager,1001318302.0,3.0,3.0,3.0,3.0,3.0,-1.0,-1,Unfilled,0
103,Tommyknocker Brewery,Kölsch,Lost Dutchman Gold Ale,1066087672.0,3.0,3.0,3.0,3.0,3.0,-1.0,-1,Unfilled,0
104,Tommyknocker Brewery,American Ipa,Pick Axe Ipa,1317996840.0,3.5,3.5,3.5,3.5,3.5,6.2,-1,Unfilled,0
105,Stone City Brewing,American Stout,Stone Mansion Stout,1020245228.0,4.5,3.5,3.5,4.5,4.0,-1.0,-1,Unfilled,0
106,Stone City Brewing,English Brown Ale,Artist Colony Ale,1054941314.0,3.5,3.5,3.5,4.0,3.5,-1.0,-1,Unfilled,0
107,Stone City Brewing,English India Pale Ale (ipa),Iowa Pale Ale,1053028330.0,4.0,4.0,3.5,4.0,4.5,5.0,-1,Unfilled,0
108,Stone City Brewing,Maibock / Helles Bock,Stein Bock,1020244980.0,4.0,4.0,3.5,4.0,4.0,6.25,-1,Unfilled,0
109,Millstream Brewing Company,Witbier,John's Generations White Ale,1152374628.0,4.0,3.5,4.0,4.0,4.0,5.2,-1,Unfilled,0
110,Stone City Brewing,Hefeweizen,Stone City Hefeweizen,1048856904.0,4.0,3.5,3.5,4.0,3.5,-1.0,-1,Unfilled,0
111,Stone City Brewing,German Pilsener,Stone Bluff Pils,1017360876.0,4.0,4.0,4.5,4.0,4.0,4.5,-1,Unfilled,0
112,Stone City Brewing,Bock,Aaaah Bock,1020568396.0,4.0,3.5,4.0,4.0,4.0,-1.0,-1,Unfilled,0
113,Brasserie D'orval S.a.,Belgian Pale Ale,Orval Trappist Ale,1297031548.0,4.5,4.5,5.0,4.5,5.0,6.9,-1,Unfilled,0
114,Brasserie Grain D' Orge (brasserie Jeanne D'arc Sa),Belgian Dark Ale,Grand Cru,897523201.0,4.0,4.0,3.5,4.5,4.0,-1.0,-1,Unfilled,0
115,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,Doppelbock,Ayinger Celebrator Doppelbock,1160447903.0,4.5,4.5,4.0,4.5,4.5,6.7,-1,Unfilled,0
116,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,Hefeweizen,Ayinger Bräu Weisse,1145198287.0,4.0,4.5,4.5,3.5,3.5,5.1,-1,Unfilled,0
117,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,Dortmunder / Export Lager,Ayinger Jahrhundert Bier,1204593172.0,4.0,4.0,4.0,4.5,4.0,5.5,-1,Unfilled,0
118,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,Munich Dunkel Lager,Ayinger Altbairisch Dunkel,1252209124.0,4.0,4.0,3.5,3.5,4.0,5.0,-1,Unfilled,0
119,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,Dunkelweizen,Ayinger Ur-weisse,1181950132.0,4.0,3.0,3.0,4.0,4.0,5.8,-1,Unfilled,0
120,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,Maibock / Helles Bock,Ayinger Maibock,1079362426.0,3.5,3.5,3.5,3.5,3.5,-1.0,-1,Unfilled,0
121,König-brauerei Gmbh,German Pilsener,König Pilsener,1254499900.0,5.0,4.0,4.0,4.0,4.0,4.9,-1,Unfilled,0
122,Brouwerij Corsendonk,Dubbel,Corsendonk Pater / Abbey Brown Ale,1162610720.0,5.0,4.5,4.5,3.5,4.0,7.5,-1,Unfilled,0
123,Brouwerij Corsendonk,Tripel,Corsendonk Agnus / Abbey Pale Ale,1198985988.0,4.0,4.0,3.5,4.0,4.0,7.5,-1,Unfilled,0
124,Brouwerij Corsendonk,Belgian Strong Dark Ale,Corsendonk Christmas Ale,1164768137.0,4.5,4.0,4.5,4.0,4.5,8.5,-1,Unfilled,0
125,Brewery Ommegang,Saison / Farmhouse Ale,Hennepin (farmhouse Saison),1131424301.0,4.0,4.0,4.0,4.5,4.5,7.7,-1,Unfilled,0
126,Brewery Ommegang,Dubbel,Ommegang (abbey Ale),1209603105.0,4.5,4.5,4.0,4.0,4.5,8.5,-1,Unfilled,0
127,Great Divide Brewing Company,Hefeweizen,Whitewater Wheat Ale,1103645253.0,1.0,1.5,3.0,1.0,1.0,5.3,-1,Unfilled,0
128,Great Divide Brewing Company,Fruit / Vegetable Beer,Wild Raspberry Ale,1132372827.0,3.5,4.0,4.5,3.5,4.0,5.6,-1,Unfilled,0
129,Brooklyn Brewery,American Brown Ale,Brooklyn Brown Ale,1219607545.0,3.5,3.5,3.5,2.5,3.0,5.6,-1,Unfilled,0
130,Brooklyn Brewery,English India Pale Ale (ipa),Brooklyn East India Pale Ale,1187021169.0,5.0,4.5,4.0,4.0,4.5,6.8,-1,Unfilled,0
131,Brooklyn Brewery,American Amber / Red Lager,Brooklyn Lager,1205192749.0,4.0,4.0,4.0,4.0,4.0,5.2,-1,Unfilled,0
132,Broughton Ales Ltd,Oatmeal Stout,Kinmount Willie Oatmeal Stout,1097014592.0,3.0,2.5,4.0,2.0,2.5,4.2,-1,Unfilled,0
133,Broughton Ales Ltd,Extra Special / Strong Bitter (esb),Merlin's Ale,1250777819.0,3.5,3.0,3.5,3.5,4.0,4.2,-1,Unfilled,0
134,Broughton Ales Ltd,Scotch Ale / Wee Heavy,Old Jock Ale,1140478526.0,3.5,4.0,3.5,3.5,3.5,6.7,-1,Unfilled,0
135,Broughton Ales Ltd,Scottish Ale,Black Douglas Ale,1118777042.0,4.5,4.0,4.5,3.5,4.0,5.2,-1,Unfilled,0
136,Brouwerij Boon,Gueuze,Boon Geuze,1271824784.0,4.0,3.5,3.5,4.5,3.5,6.0,-1,Unfilled,0
137,Brouwerij Van Steenberge N.v.,Belgian Strong Dark Ale,Gulden Draak (dark Triple),1259459038.0,4.5,4.5,4.5,4.0,4.5,10.5,-1,Unfilled,0
138,Brouwerij Van Steenberge N.v.,Belgian Ipa,Piraat Ale,1138938516.0,4.0,3.5,4.5,4.0,4.0,10.5,-1,Unfilled,0
139,Brouwerij De Smedt / Brouwerij Affligem,Dubbel,Affligem Dubbel,1138564915.0,4.0,3.5,5.0,4.0,4.0,7.0,-1,Unfilled,0
140,Buffalo Bill's Brewery,American Ipa,Alimony Ale,1299504416.0,3.5,3.5,4.0,3.5,3.5,6.8,-1,Unfilled,0
141,Great Divide Brewing Company,English Pale Ale,Denver Pale Ale,1149525347.0,4.0,4.0,4.5,3.0,3.5,5.4,-1,Unfilled,0
142,Buzzards Bay Brewing,American Blonde Ale,Buzzards Bay Golden Ale,1069214058.0,4.0,3.5,3.5,3.5,3.5,4.3,-1,Unfilled,0
143,Tennent Caledonian Breweries,Euro Pale Lager,Tennent's Lager,1016563887.0,3.5,3.5,4.0,3.5,3.5,5.0,-1,Unfilled,0
144,Castle Springs Brewing Company,Munich Helles Lager,Lucknow Munich-style Lager,916272001.0,4.5,4.0,3.5,4.0,4.5,-1.0,-1,Unfilled,0
145,Castle Springs Brewing Company,American Porter,Lucknow Porter,922060801.0,4.5,4.0,4.0,4.5,4.0,-1.0,-1,Unfilled,0
146,Castle Springs Brewing Company,American Ipa,Lucknow Ipa,918777601.0,4.5,4.5,4.5,4.5,4.5,-1.0,-1,Unfilled,0
147,Celis Brewery Inc.,American Pale Ale (apa),Pale Rider Ale,954892801.0,3.0,3.5,3.5,3.5,3.0,-1.0,-1,Unfilled,0
148,Celis Brewery Inc.,Bock,Celis Pale Bock,1051642697.0,4.0,3.5,3.5,3.0,3.5,-1.0,-1,Unfilled,0
149,Celis Brewery Inc.,Witbier,Celis White,1053591744.0,4.5,4.5,4.0,4.5,4.5,-1.0,-1,Unfilled,0
150,Celis Brewery Inc.,Witbier,Celis Grand Cru,919641601.0,4.5,4.0,4.0,4.0,4.0,-1.0,-1,Unfilled,0
151,Celis Brewery Inc.,Dubbel,Celis Dubbel Ale,919728001.0,4.0,4.0,3.5,4.0,4.0,-1.0,-1,Unfilled,0
152,"Cervecería Cuauhtémoc Moctezuma, S.a. De C.v.",Vienna Lager,Dos Equis Amber Lager,1289332245.0,5.0,5.0,3.5,4.5,4.5,4.5,-1,Unfilled,0
153,Concord Brewery,American Pale Ale (apa),Concord Pale Ale,1028142060.0,3.5,3.0,4.0,3.5,3.5,-1.0,-1,Unfilled,0
154,Cooperstown Brewing Company,American Blonde Ale,Nine Man Ale Golden Ale,1317512285.0,3.5,3.5,3.5,3.5,3.5,4.3,-1,Unfilled,0
155,Cooperstown Brewing Company,English Porter,Benchwarmer Porter,1287457678.0,4.0,4.0,4.0,3.5,4.0,6.3,-1,Unfilled,0
156,Cooperstown Brewing Company,English Stout,Strike Out Stout,1227575707.0,3.0,3.0,2.5,2.5,3.0,4.6,-1,Unfilled,0
157,Cottrell Brewing Co.,American Pale Ale (apa),Cottrell Old Yankee Ale,1084579249.0,3.5,3.5,4.0,3.0,3.0,5.0,-1,Unfilled,0
158,Smuttynose Brewing Company,American Porter,Smuttynose Winter Porter (big Beer Series),918086401.0,4.0,4.0,4.0,4.0,4.0,5.2,-1,Unfilled,0
159,Smuttynose Brewing Company,American Barleywine,Smuttynose Barleywine Style Ale (big Beer Series),1267425314.0,4.0,4.0,4.0,3.5,4.0,10.0,-1,Unfilled,0
160,Smuttynose Brewing Company,Vienna Lager,Smuttynose Portsmouth Lager,1202525826.0,4.0,3.5,3.5,3.5,4.0,4.5,-1,Unfilled,0
161,Smuttynose Brewing Company,Märzen / Oktoberfest,Smuttynose Octoberfest (big Beer Series),1067396369.0,4.5,3.5,4.5,4.0,4.0,6.7,-1,Unfilled,0
162,Smuttynose Brewing Company,American Brown Ale,Smuttynose Old Brown Dog Ale,1176335007.0,3.5,3.5,3.5,4.0,3.5,6.5,-1,Unfilled,0
163,Smuttynose Brewing Company,Russian Imperial Stout,Smuttynose Imperial Stout (big Beer Series),1239157055.0,3.0,4.0,4.5,3.5,3.5,9.8,-1,Unfilled,0
164,Smuttynose Brewing Company,American Pale Ale (apa),Smuttynose Shoals Pale Ale,1229804736.0,3.5,3.5,4.0,3.0,3.5,5.4,-1,Unfilled,0
165,Smuttynose Brewing Company,American Pale Wheat Ale,Smuttynose Chuck Wheat Ale,891561601.0,4.0,3.5,3.0,4.0,4.0,-1.0,-1,Unfilled,0
166,Smuttynose Brewing Company,Maibock / Helles Bock,Smuttynose Maibock (big Beer Series),1212125126.0,3.5,4.5,4.0,4.0,4.5,8.7,-1,Unfilled,0
167,D.l. Geary Brewing Company,English Pale Ale,Geary's Pale Ale,1272154882.0,3.0,3.0,3.0,2.5,3.0,4.5,-1,Unfilled,0
168,D.l. Geary Brewing Company,English Porter,Geary's London Style Porter,1163890310.0,4.0,4.5,4.0,5.0,4.5,4.2,-1,Unfilled,0
169,Deschutes Brewery,American Blonde Ale,Cascade Ale,1306625476.0,3.0,3.5,3.5,3.0,3.0,4.5,-1,Unfilled,0
170,Deschutes Brewery,American Pale Ale (apa),Mirror Pond Pale Ale,1263399018.0,3.5,3.5,4.0,3.5,3.5,5.0,-1,Unfilled,0
171,Deschutes Brewery,Extra Special / Strong Bitter (esb),Bachelor Esb,1023995176.0,3.5,4.0,4.0,3.5,3.5,5.3,-1,Unfilled,0
172,Deschutes Brewery,American Stout,Obsidian Stout,1290758115.0,5.0,4.5,4.5,4.5,4.5,6.4,-1,Unfilled,0
173,Deschutes Brewery,American Porter,Black Butte Porter,1231905617.0,4.5,4.5,4.5,4.5,4.0,5.2,-1,Unfilled,0
174,Dogfish Head Brewery,American Strong Ale,Immort Ale,1151623424.0,2.5,4.0,4.0,3.5,3.0,11.0,-1,Unfilled,0
