,Name,ModificationDate,DrinkID,DrinkType,Category,GlassImageLink,Glass,IBA,Recipe,Video,Ingredients,Measure
21,A True Amaretto Sour,2016-08-31 19:49:32,17005.0,,,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",,,1 jigger 
22,A midsummernight dream,2016-04-28 19:14:52,15675.0,,,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",,,
23,A. J.,2016-09-02 11:16:58,11002.0,,,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,,,"Shake ingredients with ice, strain into a cocktail glass, and serve.",,Applejack,1 1/2 oz 
24,A.D.M. (After Dinner Mint),2016-08-31 19:53:20,14560.0,,,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,,shake vigorously,,White Creme de Menthe,
25,A1,2017-09-07 21:42:09,17222.0,,,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",,,1 3/4 shot 
26,ABC,2016-08-31 19:32:08,13501.0,,,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,,,Layered in a shot glass.,,,1/3 
27,ACID,2016-11-15 11:28:37,14610.0,,,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,,,1 oz Bacardi 
28,AT&T,2017-04-24 22:00:19,13938.0,,,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,,"Pour Vodka and Gin over ice, add Tonic and Stir",,Absolut Vodka,
29,Abbey Cocktail,2016-09-02 11:19:28,11003.0,,,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,,,
30,Abbey Martini,2017-09-07 21:50:03,17223.0,,,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",,,2 shots 
31,Abilene,2016-04-29 09:44:25,11004.0,,,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,,,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,,,
32,Absinthe #2,2016-08-31 19:13:17,12790.0,,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",,,1 bottle 
33,Absolut Evergreen,2016-09-02 11:36:49,14374.0,,,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,,,"Mix, pour over ice and top up with Bitter Lemon.",,,2/3 part 
34,Absolut Sex,2016-08-31 19:33:56,14360.0,,,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",,,3/4 oz 
35,Absolut Stress #2,2016-09-02 11:23:45,15597.0,,,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,,,Mix well. Garnish with Orange and Cherry. Enjoy,,,
36,Absolut Summertime,2016-08-31 19:54:22,14107.0,,,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,,,
37,Absolut limousine,2016-09-01 09:50:44,14372.0,,,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,,,2/3 
38,Absolutely Cranberry Smash,2016-09-02 11:24:44,15024.0,,,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,,,Stir ingredients together. Serve over ice.,,,
39,Absolutely Fabulous,2017-09-07 21:55:34,17224.0,,,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,,,
40,Absolutly Screwed Up,2016-08-31 19:55:28,16134.0,,,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",,,
41,Acapulco,2016-09-02 11:26:16,11005.0,,,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,,,
42,Ace,2017-09-07 22:05:06,17225.0,,,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,,,
43,Adam,2016-09-02 11:29:29,11006.0,,,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",,,
44,Adam & Eve,2017-09-07 22:17:58,17226.0,,,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,,,Shake together all the ingredients and strain into a cold glass.,,,
45,Adam Bomb,2016-02-03 15:23:36,16333.0,,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,Rum,1 part 
46,Adam Sunrise,2016-09-02 11:28:32,15567.0,,,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",,,1/2 
47,Addington,2017-09-07 22:15:25,17227.0,,,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,,Sweet Vermouth,
48,Addison,2017-09-07 22:38:20,17228.0,,,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,,,,,,1 1/2 shot 
49,Addison Special,2017-04-24 22:14:53,14272.0,,,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,,,
50,Adios Amigos Cocktail,2017-09-07 22:31:33,17229.0,,,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,,,,,,
51,Adonis Cocktail,2016-09-02 11:27:11,11007.0,,,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",,,
52,Affair,2016-09-01 10:05:34,11008.0,,,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",,Strawberry schnapps,
53,Affinity,2017-09-07 21:44:05,11009.0,,,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,Scotch,
54,After Dinner Cocktail,2017-01-02 20:06:18,11010.0,,,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,,,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,,Apricot brandy,
55,After Five,2017-04-24 22:16:35,13807.0,,,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,,,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",,Peppermint schnapps,
56,After Supper Cocktail,2017-01-02 20:06:50,11011.0,,,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,Triple sec,
57,After sex,2017-04-24 22:18:22,15182.0,,,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,,,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,,,2 cl 
58,Afterglow,2016-07-18 22:07:32,12560.0,Non alcoholic,,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,,,Mix. Serve over ice.,,Grenadine,
59,Afternoon,2016-08-31 19:22:57,13162.0,,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",,,1 cl 
60,Alabama Slammer,2017-01-02 20:07:27,11012.0,,,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",,Southern Comfort,
61,Alaska Cocktail,2017-01-02 20:08:40,11013.0,,,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",,Orange bitters,2 dashes 
62,Alexander,2016-11-04 09:50:39,11014.0,,,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,,Unforgettables,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,,,
63,Alfie Cocktail,2017-01-02 20:10:29,11019.0,,,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",,Lemon vodka,
64,Algonquin,2017-01-02 20:11:13,11020.0,,,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",,Blended whiskey,
65,Alice Cocktail,2016-07-18 22:09:04,12562.0,,,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,,,"Shake well, strain into a large cocktail glass.",,,
66,Alice in Wonderland,2017-04-24 22:29:51,17094.0,,,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,,,Just mix the three ingredients one to one to one,,,
67,Allegheny,2017-01-02 20:12:14,11021.0,,,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,,,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,,Dry Vermouth,
68,Allies Cocktail,2017-01-02 20:15:04,11022.0,,,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,,,,,,
69,Almeria,2017-01-02 20:16:21,11023.0,,,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,,,,,,
70,Almond Chocolate Coffee,2017-04-24 22:30:41,16082.0,,,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Coffee mug,,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,,,
71,Almond Joy,2017-01-02 20:18:16,11024.0,,,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,,,,,,
72,Aloha Fruit punch,2016-07-18 22:11:07,12862.0,,,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,,,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",,Water,3/4 cup 
73,Amaretto And Cream,2017-09-02 18:56:58,11025.0,,,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,,,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",,,
74,Amaretto Liqueur,2016-09-01 09:47:29,12792.0,,,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,,,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",,Sugar,1 cup
75,Amaretto Mist,2017-01-02 20:19:31,11026.0,,,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,,,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",,,
76,Amaretto Rose,2017-04-24 22:32:59,11027.0,,,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,,,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,,,
77,Amaretto Shake,2017-04-24 22:34:16,15194.0,,,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,,Chocolate ice-cream,2 scoops 
78,Amaretto Sour,2017-04-24 22:43:32,13731.0,,,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,,,Shake and strain. Garnish with a cherry and an orange slice.,,,
79,Amaretto Stinger,2017-04-24 22:38:54,11028.0,,,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",,,
80,Amaretto Stone Sour,2016-09-01 09:52:01,14306.0,,,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,,,Shake and Serve over ice,,,
81,Amaretto Stone Sour #3,2016-09-01 09:53:32,16100.0,,,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,,,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.",,Sour mix,
82,Amaretto Sunrise,2017-04-24 22:44:27,14578.0,,,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,,,
83,Amaretto Sunset,2017-04-24 22:36:00,17168.0,,,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,,,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",,,1/2 jigger 
84,Amaretto Sweet & Sour,2016-08-31 19:35:46,16202.0,,,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.",,,
85,Amaretto Tea,2017-04-24 22:42:47,11029.0,,,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Pousse cafe glass,,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",,Tea,6 oz hot 
86,Americano,2016-11-04 09:52:06,15941.0,,,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,,,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",,Campari,
87,Angel Face,2016-11-04 09:52:58,11034.0,,,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,,,Shake all ingredients with ice and strain contents into a cocktail glass.,,,
88,Angelica Liqueur,2016-08-31 19:21:12,12794.0,,,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,,,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.",,Angelica root,3 tblsp chopped
89,Apello,2016-07-18 22:13:35,15106.0,,,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,,,Stirr. Grnish with maraschino cherry.,,Orange juice,4 cl 
90,Apple Berry Smoothie,2016-07-18 22:14:33,12710.0,,,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,,,Throw everything into a blender and liquify.,,Berries,1 cup 
91,Apple Cider Punch #1,2016-02-03 15:26:58,12864.0,Optional alcohol,,http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,,,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.",,Apple cider,4 qt 
92,Apple Grande,2016-08-31 19:37:02,16289.0,,,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,,Chill both ingredients!! Mix in a tumbler and enjoy!,,Tequila,3 oz 
93,Apple Karate,2016-07-18 22:17:14,12564.0,,,http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",,Apple juice,2 cups 
94,Apple Pie with A Crust,2016-09-01 09:54:38,16958.0,,,http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,,,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,,,3 parts 
95,Apple Slammer,2017-04-24 22:37:32,13683.0,,,http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,,,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",,7-Up,
96,Applecar,2017-09-02 23:02:44,11046.0,,,http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,,,,,,
97,Applejack,2016-11-15 11:24:22,16311.0,,,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,,,"Add all ingredients into mixing glass, chill and strain into cocktail glass",,,
98,Apricot Lady,2017-09-02 23:03:34,11050.0,,,http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,,,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",,,
99,Apricot punch,2016-08-31 19:37:47,15849.0,,,http://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,Punch bowl,,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,,,1 qt 
100,,,,,,,,,,,Unfiled,Unfiled
101,,,,,,,,,,,, 
174,,,,,,,,,,,Food coloring,2 drops blue 
188,,,,,,,,,,,,1/4 cup 
274,,,,,,,,,,,Glycerine,1/2 tsp 
288,,,,,,,,,,,,1 drop yellow 
300,,,,,,,,,,,,
301,,,,,,,,,,,,
302,,,,,,,,,,,,
303,,,,,,,,,,,,
304,,,,,,,,,,,,
305,,,,,,,,,,,,
306,,,,,,,,,,,,
307,,,,,,,,,,,,
308,,,,,,,,,,,,
309,,,,,,,,,,,,
310,,,,,,,,,,,,
311,,,,,,,,,,,,
312,,,,,,,,,,,,
313,,,,,,,,,,,,
314,,,,,,,,,,,,
315,,,,,,,,,,,,
316,,,,,,,,,,,,
317,,,,,,,,,,,,
318,,,,,,,,,,,,
319,,,,,,,,,,,,
320,,,,,,,,,,,,
321,,,,,,,,,,,,
322,,,,,,,,,,,,
323,,,,,,,,,,,,
324,,,,,,,,,,,,
325,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,,,,,,,,,,,
328,,,,,,,,,,,,
329,,,,,,,,,,,,
330,,,,,,,,,,,,
331,,,,,,,,,,,,
332,,,,,,,,,,,,
333,,,,,,,,,,,,
334,,,,,,,,,,,,
335,,,,,,,,,,,,
336,,,,,,,,,,,,
337,,,,,,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,,
340,,,,,,,,,,,,
341,,,,,,,,,,,,
342,,,,,,,,,,,,
343,,,,,,,,,,,,
344,,,,,,,,,,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,,,,,,,,,,,,
348,,,,,,,,,,,,
349,,,,,,,,,,,,
350,,,,,,,,,,,,
351,,,,,,,,,,,,
352,,,,,,,,,,,,
353,,,,,,,,,,,,
354,,,,,,,,,,,,
355,,,,,,,,,,,,
356,,,,,,,,,,,,
357,,,,,,,,,,,,
358,,,,,,,,,,,,
359,,,,,,,,,,,,
360,,,,,,,,,,,,
361,,,,,,,,,,,,
362,,,,,,,,,,,,
363,,,,,,,,,,,,
364,,,,,,,,,,,,
365,,,,,,,,,,,,
366,,,,,,,,,,,,
367,,,,,,,,,,,,
368,,,,,,,,,,,,
369,,,,,,,,,,,,
370,,,,,,,,,,,,
371,,,,,,,,,,,,
372,,,,,,,,,,,,
373,,,,,,,,,,,,
374,,,,,,,,,,,,
375,,,,,,,,,,,,
376,,,,,,,,,,,,
377,,,,,,,,,,,,
378,,,,,,,,,,,,
379,,,,,,,,,,,,
380,,,,,,,,,,,,
381,,,,,,,,,,,,
382,,,,,,,,,,,,
383,,,,,,,,,,,,
384,,,,,,,,,,,,
385,,,,,,,,,,,,
386,,,,,,,,,,,,
387,,,,,,,,,,,,
388,,,,,,,,,,,,1 drop green 
389,,,,,,,,,,,,
390,,,,,,,,,,,,
391,,,,,,,,,,,,
392,,,,,,,,,,,,
393,,,,,,,,,,,,
394,,,,,,,,,,,,
395,,,,,,,,,,,,
396,,,,,,,,,,,,
397,,,,,,,,,,,,
398,,,,,,,,,,,,
399,,,,,,,,,,,,
400,,,,,,,,,,,-1.0,
701,,,,,,,,,,,Grand Marnier,1/4 oz 
702,,,,,,,,,,,,1.5 oz 
705,,,,,,,,,,,Jägermeister,
