,Brewery,Style,Name,ReviewsNumber,OverallReview,Aroma,Appearance,Palate,Taste,BeerABV
39,,,Lager,1128991161.0,,,,,,
40,,,Woody's Wild Ale,887846401.0,,,,,,
41,,,Rebellion Ale,,,,,2.0,2.0,
42,Shipyard Brewing Co.,,Tremont Summer Ale,1238536367.0,,,,,,4.4
43,"Tremont Brewery / Atlantic Coast Brewing, Ltd.",,Tremont Porter,950140801.0,,,,,,5.4
44,,,Tremont Winter Ale,1073009707.0,,,,,,
45,,,Tremont Freedom Trail Ipa,1143399249.0,,,,,,6.4
46,,English Pale Ale,Tremont Ale,1168661375.0,,,,,,
47,Melbourn Bros.,,Melbourn Bros. Apricot,1129778476.0,,,,,,3.4
48,Redhook Ale Brewery,,Blackhook Porter,1046101348.0,,,,,,5.23
49,,American Double / Imperial Stout,Redhook Double Black Stout (with Coffee),1230593872.0,,,,,,
50,,,Melbourn Bros. Strawberry,1168045063.0,,,,,,
51,,Quadrupel (quad),Allagash Grand Cru,1129694252.0,,,,,,
52,,,Allagash White,1242786209.0,,,,,,
53,Unfilled,,Hard Hat American Beer,1020244856.0,,,,,,3.8
54,Anchor Brewing Company,,Anchor Porter,1162794629.0,,,,,,
55,,,Our Special Ale 1998 (anchor Christmas Ale),1134484393.0,,,,,,
56,,California Common / Steam Beer,Anchor Steam Beer,1279571643.0,,,,,,
57,Anheuser-busch,,Budweiser,1242438781.0,2.0,1.5,1.5,,,
58,,American Malt Liquor,King Cobra Premium Malt Liquor,1129135187.0,,,,,,
59,Avery Brewing Company,,14'er Esb,1236641494.0,,,,,,5.13
60,,Rye Beer,Redhook Rye,889315201.0,,,,,,
61,,American Blonde Ale,Redhook Blonde,1158634118.0,,,,,,5.77
62,,Hefeweizen,Redhook Hefe-weizen,1068645500.0,,,,,,5.19
63,,,Redhook Nut Brown Ale,1042572156.0,,,,,,5.57
64,Wells & Young's Ltd,,Young's Double Chocolate Stout,1292889256.0,,,,,,
65,Brooklyn Brewery,Pumpkin Ale,Post Road Pumpkin Ale,1234591324.0,,,,,,
66,"Lion Brewery, Inc.",,Pocono Caramel Porter,1134884609.0,,,,,,
67,,,Brewery Hill Centennial Lager,997575046.0,,,,,,
68,Brasserie Lefèbvre Sa,,Blanche De Bruxelles / Manneken Pis Belgian White,1238351541.0,,,,,,
69,Belhaven Brewery Company Ltd.,,Wee Heavy,1191125234.0,,,,,,6.5
70,Brauerei Pinkus Mueller,Altbier,Organic Münster Alt,1145365395.0,,,,,,5.1
71,,,Organic Ur Pils,1211698754.0,,,,,,
72,,,Organic Hefe-weizen,1152413192.0,,,,,,
73,Brauerei Beck & Co.,Märzen / Oktoberfest,Beck's Oktoberfest,1251254685.0,,,,,,
74,Berkshire Brewing Company Inc.,,Independence Wheat Ale,902188801.0,,,,,,
75,,,Coffeehouse Porter,1173030806.0,,,,,,
76,,,Drayman's Porter,1131844082.0,,,,,,
77,Stone Brewing Co.,,Stone Pale Ale,1300487389.0,,,,,,
78,,,Stone Ipa (india Pale Ale),1121815280.0,,,,,,6.9
79,,,Lost Sailor India Pale Ale,1188190076.0,,,,,,5.5
80,,,Stone Smoked Porter,1204433960.0,,,,,,5.9
81,,American Strong Ale,Arrogant Bastard Ale,1231891383.0,,,,,,
82,,,Steel Rail Extra Pale Ale,1210801340.0,,,,,,
83,St. Stan's Brewing Co.,,Red Sky Ale,1161979045.0,,,,,,
84,Spring Street Brewing Company,,Wit Original,900979201.0,,,2.0,,,
85,Sprecher Brewing Company,Schwarzbier,Black Bavarian,1213249378.0,,,,,,
86,,,Special Amber,1297892146.0,,,,,,
87,Spaten-franziskaner-bräu,Doppelbock,Spaten Optimator,1228841956.0,,,,,,7.6
88,Coors Brewing Company,,Blue Moon Harvest Moon Pumpkin Ale,1241393216.0,,,,,,5.7
89,Boston Beer Company (samuel Adams),Bock,Samuel Adams Winter Lager,1163085878.0,,,,,,
90,,,Samuel Adams Octoberfest,1191867427.0,,,,,,
91,,,Samuel Adams Summer Ale,1217352171.0,,,,,,
92,,,Samuel Adams Boston Lager,1181556267.0,,,,,,
93,,,Samuel Adams Spring Ale,1043861143.0,,,,,,
94,,,Samuel Adams Cherry Wheat,1297894809.0,,,,,,
95,,,Samuel Adams Golden Pilsner,1037441743.0,,,,,,4.63
96,,Cream Ale,Samuel Adams Cream Ale,885945601.0,,,,,,
97,,,Samuel Adams Triple Bock,1190954496.0,,,,,,17.5
98,Brasserie Grain D' Orge (brasserie Jeanne D'arc Sa),Belgian Strong Pale Ale,Belzebuth,1282712011.0,,,,,,13.0
99,Tommyknocker Brewery,,Butthead Doppelbock,1119053198.0,,,,,,8.2
100,,,Jack Whacker Wheat Ale,1202831866.0,,,,,,
101,,American Brown Ale,Maple Nut Brown Ale,1132101001.0,,,,,,
102,,,Red Eye Märzen Stil Lager,1001318302.0,,,,,,
103,,,Lost Dutchman Gold Ale,1066087672.0,,,,,,
104,,,Pick Axe Ipa,1317996840.0,,,,,,
105,Stone City Brewing,,Stone Mansion Stout,1020245228.0,,,,,,
106,,,Artist Colony Ale,1054941314.0,,,,,,
107,,,Iowa Pale Ale,1053028330.0,,,,,,
108,,Maibock / Helles Bock,Stein Bock,1020244980.0,,,,,,6.25
109,Millstream Brewing Company,,John's Generations White Ale,1152374628.0,,,,,,
110,,,Stone City Hefeweizen,1048856904.0,,,,,,
111,,,Stone Bluff Pils,1017360876.0,,,,,,
112,,,Aaaah Bock,1020568396.0,,,,,,
113,Brasserie D'orval S.a.,,Orval Trappist Ale,1297031548.0,,,,,,
114,,Belgian Dark Ale,Grand Cru,897523201.0,,,,,,
115,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,,Ayinger Celebrator Doppelbock,1160447903.0,,,,,,6.7
116,,,Ayinger Bräu Weisse,1145198287.0,,,,,,
117,,Dortmunder / Export Lager,Ayinger Jahrhundert Bier,1204593172.0,,,,,,
118,,Munich Dunkel Lager,Ayinger Altbairisch Dunkel,1252209124.0,,,,,,
119,,Dunkelweizen,Ayinger Ur-weisse,1181950132.0,,,,,,5.8
120,,,Ayinger Maibock,1079362426.0,,,,,,
121,König-brauerei Gmbh,,König Pilsener,1254499900.0,,,,,,
122,Brouwerij Corsendonk,,Corsendonk Pater / Abbey Brown Ale,1162610720.0,,,,,,7.5
123,,,Corsendonk Agnus / Abbey Pale Ale,1198985988.0,,,,,,
124,,,Corsendonk Christmas Ale,1164768137.0,,,,,,8.5
125,Brewery Ommegang,Saison / Farmhouse Ale,Hennepin (farmhouse Saison),1131424301.0,,,,,,
126,,,Ommegang (abbey Ale),1209603105.0,,,,,,
127,Great Divide Brewing Company,,Whitewater Wheat Ale,1103645253.0,1.0,,,1.0,1.0,
128,,,Wild Raspberry Ale,1132372827.0,,,,,,
129,,,Brooklyn Brown Ale,1219607545.0,,,,,,
130,,,Brooklyn East India Pale Ale,1187021169.0,,,,,,6.8
131,,American Amber / Red Lager,Brooklyn Lager,1205192749.0,,,,,,
132,Broughton Ales Ltd,Oatmeal Stout,Kinmount Willie Oatmeal Stout,1097014592.0,,,,,,
133,,,Merlin's Ale,1250777819.0,,,,,,
134,,,Old Jock Ale,1140478526.0,,,,,,
135,,,Black Douglas Ale,1118777042.0,,,,,,
136,Brouwerij Boon,Gueuze,Boon Geuze,1271824784.0,,,,,,
137,Brouwerij Van Steenberge N.v.,,Gulden Draak (dark Triple),1259459038.0,,,,,,10.5
138,,Belgian Ipa,Piraat Ale,1138938516.0,,,,,,
139,Brouwerij De Smedt / Brouwerij Affligem,,Affligem Dubbel,1138564915.0,,,,,,
140,Buffalo Bill's Brewery,,Alimony Ale,1299504416.0,,,,,,
141,,,Denver Pale Ale,1149525347.0,,,,,,
142,Buzzards Bay Brewing,,Buzzards Bay Golden Ale,1069214058.0,,,,,,4.3
143,Tennent Caledonian Breweries,Euro Pale Lager,Tennent's Lager,1016563887.0,,,,,,
144,Castle Springs Brewing Company,Munich Helles Lager,Lucknow Munich-style Lager,916272001.0,,,,,,
145,,,Lucknow Porter,922060801.0,,,,,,
146,,,Lucknow Ipa,918777601.0,,,,,,
147,Celis Brewery Inc.,,Pale Rider Ale,954892801.0,,,,,,
148,,,Celis Pale Bock,1051642697.0,,,,,,
149,,,Celis White,1053591744.0,,,,,,
150,,,Celis Grand Cru,919641601.0,,,,,,
151,,,Celis Dubbel Ale,919728001.0,,,,,,
152,"Cervecería Cuauhtémoc Moctezuma, S.a. De C.v.",,Dos Equis Amber Lager,1289332245.0,,,,,,
153,Concord Brewery,,Concord Pale Ale,1028142060.0,,,,,,
154,Cooperstown Brewing Company,,Nine Man Ale Golden Ale,1317512285.0,,,,,,
155,,English Porter,Benchwarmer Porter,1287457678.0,,,,,,
156,,English Stout,Strike Out Stout,1227575707.0,,,,,,4.6
157,Cottrell Brewing Co.,,Cottrell Old Yankee Ale,1084579249.0,,,,,,
158,Smuttynose Brewing Company,,Smuttynose Winter Porter (big Beer Series),918086401.0,,,,,,
159,,American Barleywine,Smuttynose Barleywine Style Ale (big Beer Series),1267425314.0,,,,,,10.0
160,,,Smuttynose Portsmouth Lager,1202525826.0,,,,,,
161,,,Smuttynose Octoberfest (big Beer Series),1067396369.0,,,,,,
162,,,Smuttynose Old Brown Dog Ale,1176335007.0,,,,,,
163,,,Smuttynose Imperial Stout (big Beer Series),1239157055.0,,,,,,9.8
164,,,Smuttynose Shoals Pale Ale,1229804736.0,,,,,,
165,,,Smuttynose Chuck Wheat Ale,891561601.0,,,,,,
166,,,Smuttynose Maibock (big Beer Series),1212125126.0,,,,,,8.7
167,D.l. Geary Brewing Company,,Geary's Pale Ale,1272154882.0,,,,,,
168,,,Geary's London Style Porter,1163890310.0,,,,,,
169,Deschutes Brewery,,Cascade Ale,1306625476.0,,,,,,
170,,,Mirror Pond Pale Ale,1263399018.0,,,,,,
171,,,Bachelor Esb,1023995176.0,,,,,,
172,,,Obsidian Stout,1290758115.0,,,,,,
173,,,Black Butte Porter,1231905617.0,,,,,,
174,Dogfish Head Brewery,,Immort Ale,1151623424.0,,,,,,11.0
175,Dornbusch Brewing Company,,Dornbusch Gold,977274839.0,,,,,,
176,,,Dornbusch Alt,1021577075.0,,,,,,
177,Einbecker Brauhaus Ag,,Einbecker Mai-ur-bock,1228713286.0,,,,,,
178,Eumundi Brewing Group Ltd.,,Laguna Bay Australian Pale Ale,1020598616.0,,,,,,
179,Flying Dog Brewery,,Old Scratch Amber Lager,1312951561.0,,,,,,
180,,,Snake Dog Ipa,1206564067.0,,,,,,7.1
181,,,Road Dog Porter,1096491242.0,,,,,,
182,,Herbed / Spiced Beer,Hempen Golden,,1.5,,,,,
183,,,Bee Sting Honey Ale,1081611296.0,,,,,,
184,,,Ridgeline Amber Ale,1104026142.0,,,,,,
185,Full Sail Brewery & Tasting Room & Pub,,Full Sail Stout,1018469797.0,,,,,,
186,,,Full Sail Pilsner,1020431239.0,,,,,,
187,,,Full Sail Esb,1154727184.0,,,,,,
188,,,Full Sail Amber,1194792114.0,,,,,,
189,,,Full Sail Pale Ale,1060274144.0,,,,,,
190,,Baltic Porter,Imperial Porter,1086931220.0,,,,,,
191,,,Full Sail Wassail,1228778736.0,,,,,,
192,Fuller Smith & Turner Plc,,Fuller's Esb,1249495847.0,,,,,,
193,,,Fuller's Old Winter Ale,1202609440.0,,,,,,
194,,,Fuller's London Porter,1232752212.0,,,,,,
195,,,Fuller's London Pride,1249612092.0,,,,,,
196,Weisses Bräuhaus G. Schneider & Sohn Gmbh,Weizenbock,Schneider Aventinus,1295823044.0,,,,,,
197,Great Lakes Brewing Company,,Great Lakes Burning River Pale Ale,1220581697.0,,,,,,
198,,,Great Lakes Edmund Fitzgerald Porter,1297139444.0,,,,,,
199,,,Great Lakes Cleveland Brown Ale,1017621854.0,,,,,,
200,,,Great Lakes Dortmunder Gold,1041634463.0,,,,,,
201,,,Great Lakes Eliot Ness,1284514319.0,,,,,,
202,Gritty Mcduff's Brewing Company,,Gritty Mcduff's Best Brown,1181181447.0,,,,,,
203,,English Bitter,Gritty Mcduff's Best Bitter,1166664405.0,,,,,,
204,Grupo Modelo S.a. De C.v.,,Corona Extra,1150603642.0,,,,,1.5,
205,,,Corona Light,1082854922.0,,1.0,1.0,,,4.1
206,Hacker-pschorr Bräu Gmbh,,Hacker-pschorr Oktoberfest-märzen,1254274444.0,,,,,,
207,Burton Bridge Brewery,,Burton Bridge Empire India Pale Ale,1186790552.0,,,,,,
208,Wychwood Brewery Company Ltd,,Hobgoblin,1193713851.0,,,,,,
209,,,Fiddler's Elbow,1033748761.0,,,,,,
210,Hammer & Nail Brewers,,Hammer & Nail Brown Ale,1024057369.0,,,,,,
211,,,Hammer & Nail Vienna Style Lager,1020678104.0,,,,,,
212,,,Hammer & Nail Scotch Classic Style Ale,907113601.0,,,,,,
213,,,Hammer & Nail Extra Special Bitter Ale,1018987551.0,,,,,,
214,Williams Brothers Brewing Company,Scottish Gruit / Ancient Herbed Ale,Alba Scots Pine Ale,1241745918.0,,,,,,
215,,,Grozet Gooseberry & Wheat Ale,1183953871.0,,,,,,
216,,,Fraoch Heather Ale,1170664763.0,,,,,,
217,Heineken Nederland B.v.,,Heineken Lager Beer,1221610687.0,,,,,,
218,Brouwerij Van Hoegaarden,,Hoegaarden Original White Ale,1213511437.0,,,,,,
219,Hofbräu Kaltenhausen (brau Union),,Edelweiss Weissbier,1315936808.0,,,,,,
220,Pioneer Brewing Co.,,Hyland American Pale Ale,1109656161.0,,,,,,
221,,,Hyland Amber Ale,1236599882.0,,,,,,
222,Ipswich Ale Brewery,Old Ale,Ipswich Winter Ale,1070408038.0,,,,,,
223,,,Ipswich Original Ale,1279321638.0,,,,,,
224,,English Barleywine,1084 Barley Wine Ale,1042899659.0,,,,,,
225,,,Ipswich Nut Brown Ale,1093471122.0,,,,,,
226,,,Ipswich Esb,1031726354.0,,,,,,
227,,,Ipswich India Pale Ale (i.p.a.),1034750483.0,,,,,,
228,,,Ipswich Oatmeal Stout,1226378386.0,,,,,,
229,James Page Brewing Company,,Iron Range Amber Lager,1247855205.0,,,,,,4.48
230,,,Saint Bridget's Porter,1259073798.0,,,,,,
231,Jos. Schlitz Brewing Co. (pabst),,Schlitz,1089123767.0,,,,,,
232,Alexander Keith's,,Alexander Keith's India Pale Ale,1297898524.0,,,,,,
233,King & Barnes Ltd.,,Old Porter,1017660111.0,,,,,,
234,United Breweries - Ub Group,,Kingfisher Premium Lager,1263690646.0,,,,,,
235,Cerveceria La Constancia S.a. / Bevco Ltd,,Pilsener,1066398617.0,,,,,,3.9
236,,,Suprema,1288543947.0,,,,,,
237,Long Trail Brewing Co.,,Ipa,1248903856.0,,,,,,
238,,,Hibernator,1272590328.0,,,,,,
239,,,Harvest,1285885144.0,,,,,,
240,,,Double Bag,1212427494.0,,,,,,
241,Florida Beer Company,,Ybor Gold Wheat Ale,1176418161.0,,,,,,
242,Sierra Nevada Brewing Co.,,Sierra Nevada Pale Ale,1280873878.0,,,,,,
243,,,Ybor Gold Brown Ale,1148512573.0,,,,,,
244,,,Sierra Nevada Porter,1101050912.0,,,,,,
245,Löwenbräu Ag,,Löwenbräu Original,1096920981.0,,,,,,
246,,,Löwenbräu Premium Dark,1062298189.0,,,,,,
247,,,Sierra Nevada Wheat Beer,1199933659.0,,,,,,
248,,,Sierra Nevada Stout,1017419838.0,,,,,,
249,Magic Hat Brewing Company,,Feast Of Fools,1203779355.0,,,,,,
250,,,Ravell,1172796151.0,,,,,,
251,,,Summer Ale,1215722816.0,,,,,,
252,,,Prelude Special Ale,1186618422.0,,,,,,
253,,,Brewer's Brown Ale,1120750720.0,,,,,,
254,,,Longfellow Winter Ale,1038989356.0,,,,,,
255,,Irish Dry Stout,Blue Fin Stout,1278280887.0,,,,,,
256,,,Hocus Pocus,1214931969.0,,,,,,
257,,,Old Thumper Esa,1222222474.0,,,,,,
258,,,Bob's 1st Ale,927676801.0,,,,,,
259,,,Fat Angel,1106322963.0,,,,,,
260,,,Jinx,1069221003.0,,,,,,
261,,,Heart Of Darkness,1086036853.0,,,,,,
262,,,Blind Faith,1283524991.0,,,,,,
263,,,#9,1177118656.0,,,,,,
264,,,Miss Bliss,896054401.0,,,,,,
265,Maritime Beer Company Inc.,,Black Pearl Cream Ale,1170038983.0,,,,,,
266,Shepherd Neame Ltd,,India Pale Ale,,,,,,,
267,,,King's Honey Amber Ale,901670401.0,,,,,,
268,,,Original Porter,892080001.0,,,,,,
269,,,Spitfire (premium Ale Export),1091155245.0,,,,,,
270,,,Casey's Smooth Stout,885427201.0,,,,,,
271,Harpoon Brewery,,Harpoon Summer Beer,1308306956.0,,,,,,
272,,,Harpoon Esb,1043183588.0,,,,,,
273,,,Harpoon Spring Maibock,980463551.0,,,,,,
274,,,Harpoon Winter Warmer,1298069687.0,,,,,,
275,,,Harpoon Ipa,1163023625.0,,,,,,
276,,,Harpoon Ale,1127087685.0,,,,,,
277,,,Harpoon Octoberfest Beer,1064452706.0,,,,,,
278,,,Harpoon Munich Type Dark Beer,1233527618.0,,,,,,
279,,,Harpoon Pilsner,1009453651.0,,,,,,
280,,,Pickwick Ale,894758401.0,,,,,,
281,,,Ufo Hefeweizen,1043939419.0,,,,,,
282,Matt Brewing Company,,Saranac Pilsener,1056160953.0,,,,,,
283,,,Saranac Lager,1029158598.0,,,,,,
284,,,Saranac Black Forest,1134933847.0,,,,,,
285,Mcneill's Brewery,,Mcneill's Oatmeal Stout,1185756972.0,,,,,,
286,,,Mcneill's Duck's Breath Bitter,1123444768.0,,,,,,
287,,,Mcneill's Champ Ale,1262048729.0,,,,,,
288,,,Mcneill's Firehouse Amber Ale,1202865505.0,,,,,,
289,,,Michelob Pale Ale,1234709550.0,,,,,,
290,"Middle Ages Brewing Co., Ltd.",,Syracuse Pale Ale,1209785456.0,,,,,,
291,,,Beast Bitter,1214949667.0,,,,,,
292,,,Grail Ale,1097634589.0,,,,,,
293,,,Impaled Ale,1049657499.0,,,,,,
294,Miller Brewing Co.,,Miller Lite,1136212715.0,,,,,,4.17
295,,,Millstream Oktoberfest,1285391402.0,,,,,,
296,,,Millstream Lager,1207443929.0,,,,,,
297,,,Millstream Schild Brau Amber,1182722771.0,,,,,,
298,,,Stone Cat E.s.b.,1016821214.0,,,,,,
299,,,Stone Cat Ale,982626113.0,,,,,,
300,,,Stone Cat I.p.a.,1164678773.0,,,,,,
301,Moorhouse's Brewery (burnley) Ltd,,Pendle Witches Brew,1161733916.0,,,,,,
302,,English Dark Mild Ale,Black Cat,1153765233.0,,,,,,
303,Sea Dog Brewing Company,,Sea Dog Cabin Fever Winter Stock Ale,1204599248.0,,,,,,
304,,,Sea Dog Blue Paw Wheat Ale,1079130565.0,,,,,,
305,,,Sea Dog Windjammer Blonde Ale,1059967477.0,,,,,,
306,,,Sea Dog Old East India Pale Ale,1306285495.0,,,,,,
307,Utah Brewers Cooperative,,Wasatch Slickrock Lager,1003017601.0,,,,,,
308,Brasserie Piedboeuf,,Jupiler,1255556534.0,,,,1.5,,
309,Greene King / Morland Brewery,,Ruddles Pub Ale,1092499101.0,,,,,,
310,Rogue Ales,,Mocha Porter,1250902790.0,,,,,,
311,,Chile Beer,Chipotle Ale,1137442151.0,,,,,,
312,,,Dead Guy Ale,1169404757.0,,,,,,
313,,,Imperial Stout,1193713713.0,,,,,,
314,,Smoked Beer,Smoke Ale,1247101758.0,,,,,,
315,,American Double / Imperial Ipa,Xs Imperial India Pale Ale,1131822065.0,,,,,,9.5
316,,,Artisan Vienna Lager,1279421148.0,,,,,,
317,,,Brutal Bitter Ale,1082160198.0,,,,,,
318,,,Oregon Golden Ale,1057593711.0,,,,,,
319,,,American Amber Ale,1113964619.0,,,,,,
320,,,Half-e-weizen,1189387374.0,,,,,,
321,,,Honey Cream Ale,1066450070.0,,,,,,
322,Boulder Beer / Wilderness Pub,,Rockies Fall Fest Amber Ale,1100270033.0,,,,,,
323,,,"Boulder, Extra Pale Ale",1034017167.0,,,,,,
324,Rocky Bay Brewing Company,,Nor'easter Stout,1018869269.0,,,,,,
325,,,Schooner Point Lager,1152748268.0,,,,,,
326,Brauerei Tucher Brau,,Tucher Dunkles Hefe Weizen,1282704542.0,,,,,,5.35
327,,,Tucher Helles Hefe Weizen,1116902260.0,,,,,,
328,,Kristalweizen,Tucher Kristall Weizen,1023090825.0,,,,,,
329,Privatbrauerei Franz Joseph Sailer,,Oberdorfer Hefeweizen Dunkel,1092261702.0,,,,,,
330,Portland Brewing Company,,Bobby Dazzler,1037441986.0,,,,,,
331,Pete's Brewing Company,,Pete's Wicked Summer Brew,1021877761.0,,,,,,
332,,,Pete's Wicked Winter Brew,1019327311.0,,,,,,
333,,,Pete's Wicked Oktoberfest,1217358434.0,,,,,,
334,,,Pete's Wicked Esp,1063507767.0,,,,,,
335,,,Pete's Wicked Springfest,890611201.0,,,,,,
336,,,Pete's Wicked Strawberry Blonde,1193287070.0,,,,,,
337,Pennsylvania Brewing Company,,Penn Weizen,1155780075.0,,,,,,
338,,,Penn Dark,1144739539.0,,,,,,
339,,,Penn Gold,1223758002.0,,,,,,
340,,,Penn Pilsner,1148261299.0,,,,,,
341,Paulaner Brauerei Gmbh & Co. Kg,,Paulaner Oktoberfest-märzen,1222903015.0,,,,,,
342,,,Salvator Doppel Bock,1163263394.0,,,,,,7.9
343,,,Paulaner Original Münchner,1046077655.0,,,,,,
344,"Paper City Brewery Co., Inc.",,Winter Palace Wee Heavy,1083288997.0,,,,,,
345,,,India'n Pale Ale,1325693061.0,,,,,,
346,,,Holyoke Dam Ale,1130093903.0,,,,,,
347,,,Cabot Street Wheat,996486906.0,,,,,,
348,,,Paper City Pilsner,996109926.0,,,,,,
349,,,Ireland Parish Brand Golden Ale,1295749024.0,,,,,,
350,Panther Brewing Company,,Three Stooges Curly's Light,1146611909.0,,,,,,
351,,,The Three Stooges Beer,1058099207.0,,,,,,
352,Otter Creek Brewing / Wolaver's,,Wolaver's Brown Ale,1218585547.0,,,,,,
353,,,Wolaver's Pale Ale,1145295303.0,,,,,,
354,,,Wolaver's India Pale Ale,1203904755.0,,,,,,
355,Paderborner Isenbeck Brauerei Haus Cramer Gmbh & Co. Kg,,Premium Dark,1073356070.0,,,,,,
356,Orkney Brewery,,Dark Island,1051288047.0,,,,,,
357,,,Skullsplitter,1217972862.0,,,,,,
358,North Coast Brewing Co.,,Acme California Ipa,1212467930.0,,,,,,
359,,,Tremont Festival Ale,1062357545.0,,,,,,
360,,,Acme California Brown Ale,1065756904.0,,,,,,
361,,,Acme California Pale Ale,1103846880.0,,,,,,
362,,,Blue Star Great American Wheat Beer,1086830311.0,,,,,,
363,,,Old #38 Stout,1099552093.0,,,,,,
364,,,Scrimshaw Pilsner,1168729187.0,,,,,,
365,,,Ruedrich's Red Seal Ale,1233957155.0,,,,,,
366,,,Pranqster,1304290997.0,,,,,,
367,,,Old Rasputin Russian Imperial Stout,1294175093.0,,,,,,
368,North East Brewing Company,,Allston Beer,926726401.0,,,,,,
369,,,Springfest Maibock,,,,,,,
370,,Lambic - Fruit,Cherry 2000,,,,,,,
371,,,Nail In The Brain Barley Wine,,,,,,,
372,,,Trappist Monkey Abbey Ale,904953601.0,,,,,,
373,,,Dortmunder Export Lager,,,,,,,
374,,,Griggs St Mild,,,,,,,
375,,,Macfearsome's Scotch Ale,,,,,,,
376,,,Palatine Porter,897091201.0,,,,,,
377,,,Oak Whiskey Porter,985001537.0,,,,,,
378,,,Grampus Trippel,1010762755.0,,,,,,
379,,,Triple Black,,,,,,,
380,,,Black Sow Stout,,,,,,,
381,,,Lobsterback Ipa,,,,,,,
382,,,Nor'easter Copper Ale,,,,,,,
383,,,Munchener Helles,,,,,,,
384,"Plzensky Prazdroj, A. S.",Czech Pilsener,Pilsner Urquell,1281967660.0,,,,,,
385,,,Otter Creek Mud Bock Spring Ale,1019679098.0,,,,,,
386,,,Otter Creek Stovepipe Porter,1169168246.0,,,,,,
387,,,Otter Creek Pale Ale,1153550235.0,,,,,,
388,,,Otter Creek A Winter's Ale,1039989747.0,,,,,,
389,,,Otter Creek Copper Ale,1229726830.0,,,,,,
390,,,Otter Summer Ale,1155226610.0,,,,,,
391,Amstel Brouwerij B. V.,,Amstel Light,1292652439.0,,,,,,3.5
